mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_50408,O=CC1CC=CC11CC1,2.12372,1.73073,1.11108,2.7312,82.06,-0.2282,-0.0181,0.2101,1125.5881,0.159037,-385.89815,-385.889785,-385.88884,-385.932,31.608
gdb_30382,CN=c1nccccn1,3.03846,1.4956,1.1795,4.6147,81.77,-0.2372,-0.0875,0.1498,1067.5529,0.125303,-396.933383,-396.925499,-396.924555,-396.966085,28.987
gdb_92379,CC1CC2CNC12C#N,2.12986,1.66144,1.25319,3.4169,80.33,-0.2436,0.0105,0.2541,1094.2777,0.160497,-382.052328,-382.04396,-382.043015,-382.085168,32.099
gdb_91528,NC(=O)C12OC1CC2O,2.69726,1.49317,1.1278,2.4209,65.14,-0.247,0.0008,0.2478,1071.7049,0.123688,-475.010481,-475.00207,-475.001125,-475.043916,31.433
gdb_94787,CC1NCC2(CO2)C1=O,2.67742,1.51716,1.16708,3.0592,72.03,-0.2227,-0.0371,0.1856,1092.357,0.147752,-439.076498,-439.068088,-439.067144,-439.109762,31.519
gdb_30771,Cn1ccc(c1N)CO,2.93192,1.30089,0.94689,1.8746,80.32,-0.1794,0.0468,0.2262,1245.9686,0.160466,-419.233723,-419.224385,-419.223441,-419.267726,34.672
gdb_102866,OCC(CC=O)NC=O,1.90886,1.26256,0.87904,5.8585,70.2,-0.2439,-0.0155,0.2284,1331.3421,0.145161,-476.249078,-476.238855,-476.23791,-476.285935,34.788
gdb_104578,CC(=O)NC1(CC1)CO,2.28323,1.20809,1.00819,2.3358,76.0,-0.236,0.033,0.269,1298.0355,0.168711,-440.301157,-440.290725,-440.289781,-440.337837,36.972
gdb_90159,CN1CC23CC12CCO3,3.36558,1.47989,1.34019,1.2296,78.33,-0.2099,0.0741,0.284,1044.7284,0.171925,-403.082958,-403.075148,-403.074204,-403.114784,31.299
gdb_90842,OC1CC2C3C4CC13N24,3.10032,1.93497,1.49093,2.2428,75.12,-0.2387,0.0868,0.3255,906.1035,0.149995,-401.846321,-401.839837,-401.838893,-401.876871,27.521
gdb_124838,CC(O)CN1N=CC=N1,4.42662,1.01435,0.86294,1.3562,75.0,-0.259,-0.0121,0.2469,1332.492,0.149243,-435.275949,-435.267567,-435.266622,-435.309788,30.834
gdb_21614,NC1=NC(=N)ON=N1,4.17619,2.06716,1.38273,4.138,58.89,-0.253,-0.0963,0.1567,799.5721,0.072067,-426.86187,-426.855019,-426.854075,-426.893239,24.669
gdb_84937,CN1C=CCCOC1=O,2.6543,1.6222,1.07901,3.9577,76.2,-0.2185,0.0083,0.2269,1116.0424,0.149089,-439.128183,-439.119777,-439.118833,-439.161602,30.953
gdb_87313,OC1CC1(CC#C)C#N,2.73724,1.24688,1.0008,4.2606,75.63,-0.2575,0.0097,0.2673,1178.4274,0.121999,-400.707552,-400.698437,-400.697493,-400.741303,33.744
gdb_78617,CC12C3C(C1O)C(=O)N23,2.90849,1.6094,1.24438,3.8406,68.83,-0.2438,0.0011,0.2449,1003.7449,0.123124,-437.842165,-437.834259,-437.833315,-437.874305,30.19
gdb_20659,Cc1cnc(nn1)O,5.95584,1.6128,1.27921,3.799,63.17,-0.2359,-0.071,0.165,894.3696,0.096349,-394.807723,-394.80089,-394.799946,-394.839267,24.711
gdb_20579,Cc1c([nH]nc1N)C,3.26632,1.97466,1.25228,2.0922,71.71,-0.1944,0.04,0.2344,964.3003,0.142997,-360.079031,-360.070299,-360.069354,-360.112196,31.326
gdb_6782,CC(=O)NCCOC,4.6916,0.89321,0.79371,3.5852,70.77,-0.2392,0.0392,0.2784,1463.3249,0.16355,-402.22685,-402.216844,-402.2159,-402.263611,33.514
gdb_82484,CC1C2CC3(C)OC1C23,3.22246,1.48502,1.39655,1.5623,81.68,-0.2326,0.0815,0.3141,1055.0187,0.182737,-387.05727,-387.049235,-387.04829,-387.08924,32.482
gdb_102381,CCC(CN)(NC)C#N,1.68823,1.52307,1.07152,4.5587,82.35,-0.2297,0.0331,0.2628,1284.8793,0.193475,-400.525344,-400.514247,-400.513303,-400.561268,39.978
gdb_120540,OCCC1CC(C1)C=O,5.97583,0.59525,0.57347,2.9521,80.5,-0.2456,-0.0192,0.2264,1904.611,0.180799,-424.219028,-424.208995,-424.20805,-424.255338,35.497
gdb_70995,CC12CC3(CCC13)CC2,2.87298,1.52859,1.38609,0.102,90.71,-0.227,0.0819,0.3089,1085.6042,0.208121,-351.083011,-351.075324,-351.07438,-351.114337,33.069
gdb_31370,COc1cc(=O)cc[nH]1,3.79247,1.15574,0.89088,8.1063,76.65,-0.2084,-0.0056,0.2028,1247.7654,0.125199,-437.930942,-437.922674,-437.92173,-437.965055,30.33
gdb_133340,NC1=CC(=N)C(F)=NO1,3.27115,1.39629,0.97924,3.9042,68.08,-0.224,-0.0482,0.1758,1087.145,0.089149,-494.007717,-494.000221,-493.999277,-494.039664,28.56
gdb_84032,CC1C2COCCOC12,2.64603,1.46524,1.19486,0.4359,78.68,-0.2315,0.0816,0.3131,1131.4364,0.184273,-424.204101,-424.195861,-424.194917,-424.236598,32.456
gdb_1340,CCN1CC1(C)C,4.77351,1.65895,1.51298,1.0894,72.35,-0.219,0.0873,0.3063,934.0888,0.181313,-291.024232,-291.015563,-291.014619,-291.056693,31.966
gdb_65984,CC1(COC1=N)C1CN1,2.27549,1.53106,1.38533,2.7135,75.57,-0.2418,0.019,0.2608,1061.1021,0.15989,-419.179453,-419.17079,-419.169845,-419.212746,32.479
gdb_18990,C1OC2C1C1OCC21,3.84111,2.26605,2.15622,1.9906,62.51,-0.2438,0.0597,0.3034,712.8647,0.132629,-383.668099,-383.662253,-383.661309,-383.697955,23.458
gdb_19309,C(OC1CC1)C1CN1,7.55328,0.88218,0.8423,2.484,73.07,-0.244,0.081,0.325,1389.673,0.165199,-365.002847,-364.994511,-364.993567,-365.03682,30.208
gdb_62894,CC1(O)C2OC1C21CO1,3.27331,1.51082,1.1873,3.4979,68.83,-0.2457,0.0575,0.3033,1041.1533,0.133112,-458.854812,-458.846694,-458.84575,-458.886886,31.863
gdb_30091,CC1CC1C1=CC=CN1,3.48051,1.11306,1.03371,1.848,86.24,-0.1927,0.0446,0.2373,1254.1547,0.172768,-366.042229,-366.033755,-366.032811,-366.075908,32.703
gdb_84360,CN1C=CC(C)(O)C1=O,2.6688,1.49774,1.19248,4.0396,74.97,-0.2172,-0.0186,0.1986,1098.7731,0.14603,-439.126061,-439.116663,-439.115719,-439.159968,34.422
gdb_122559,CCOCC1CC2OC12,4.93967,0.72411,0.69344,1.1194,79.69,-0.2482,0.0896,0.3378,1697.9204,0.181049,-424.177682,-424.168302,-424.167358,-424.212985,33.961
gdb_97132,CN=C1OCC1OC=N,2.5685,1.14261,0.83247,2.6321,74.19,-0.258,0.0024,0.2604,1366.0206,0.134714,-455.123699,-455.114321,-455.113377,-455.159289,31.734
gdb_36723,N#CCNC1CCC=C1,5.51919,0.72162,0.67059,4.4444,82.89,-0.2454,0.0094,0.2548,1645.7089,0.160681,-382.079569,-382.070783,-382.069839,-382.114198,31.918
gdb_87691,CC1NC11CC(O)C1=O,2.67531,1.23937,1.02956,0.6312,74.99,-0.2354,-0.0405,0.1949,1216.8683,0.14586,-439.06261,-439.053371,-439.052427,-439.097223,33.512
gdb_7234,NC(=N)C(=N)OC=O,4.65309,1.2679,1.01982,3.0689,58.88,-0.2478,-0.0616,0.1862,1063.2346,0.094807,-431.945582,-431.937491,-431.936547,-431.978731,28.329
gdb_16609,O=C1OC2CC2C1=O,3.37643,2.4157,1.56564,5.2895,55.16,-0.258,-0.0837,0.1742,757.5461,0.084216,-418.505647,-418.499536,-418.498592,-418.536033,22.963
gdb_1646,CCC(=O)C(=O)N,5.21252,1.82494,1.37423,1.165,54.38,-0.2399,-0.0611,0.1788,850.4674,0.111761,-361.77204,-361.764019,-361.763075,-361.804796,27.651
gdb_102169,CCN(CC#N)C(C)C,1.86423,1.1535,0.88246,4.3409,86.97,-0.2268,0.0298,0.2566,1466.973,0.203387,-384.475443,-384.46422,-384.463276,-384.51261,39.976
gdb_34233,C#CC12OC3CC1NC23,3.39663,1.60925,1.39317,1.8572,75.17,-0.2396,0.0175,0.257,945.5738,0.125482,-400.654306,-400.647607,-400.646662,-400.685189,27.72
gdb_54815,CC(=O)C1C2OC=NC12,3.36042,1.42665,1.30362,3.2713,69.25,-0.239,-0.017,0.222,1015.4321,0.124234,-437.8946,-437.886856,-437.885911,-437.927334,28.66
gdb_89726,CC1OC2(CC2)C(C)=C1,2.51645,1.47528,1.06813,1.499,86.92,-0.206,0.0229,0.2289,1216.7907,0.180998,-387.094888,-387.085718,-387.084774,-387.128734,35.21
gdb_118995,CC1(OCCO1)CCO,2.61453,1.1284,0.9854,2.1488,74.29,-0.2506,0.0815,0.3321,1310.8679,0.18105,-461.364807,-461.354931,-461.353987,-461.400088,35.789
gdb_92715,CC1CC=C(C)C1C#N,2.036,1.64564,1.05717,3.9048,84.92,-0.2512,0.0056,0.2568,1205.9939,0.171028,-366.056175,-366.04696,-366.046016,-366.090105,34.323
gdb_39643,C1COC(=N1)C2COC2,4.35226,1.03692,0.92138,2.8052,73.02,-0.2464,0.0185,0.2648,1282.4469,0.149346,-439.077051,-439.068848,-439.067903,-439.111687,28.68
gdb_35396,C#CC1OC2C3CC3C12,3.10305,1.5799,1.3267,1.939,76.77,-0.2436,0.0198,0.2633,989.8374,0.135834,-384.585656,-384.578375,-384.57743,-384.617205,29.397
gdb_47672,N=C1CC(=O)COCO1,2.25733,1.72371,1.07773,3.1204,66.92,-0.254,-0.0402,0.2138,1079.1554,0.124841,-475.038421,-475.030504,-475.02956,-475.071755,29.08
gdb_8953,CCC(O)C(O)CC,3.8895,1.06535,0.89106,0.0014,74.83,-0.2491,0.068,0.3171,1372.4974,0.197476,-387.347683,-387.337137,-387.336193,-387.38297,38.059
gdb_92317,OC1CC2COC(=O)C12,2.42567,1.91677,1.25504,4.387,67.0,-0.2642,-0.0046,0.2597,988.4214,0.137529,-458.995544,-458.988099,-458.987154,-459.027541,28.873
gdb_72595,CC12COC1(C)C(=O)C2,2.22512,1.60366,1.42573,3.677,75.65,-0.23,-0.0291,0.2009,1051.6056,0.156666,-423.020402,-423.011353,-423.010409,-423.053929,33.816
gdb_124294,CC(=O)c1c(non1)N,2.78053,1.5483,1.00167,2.0425,66.24,-0.2503,-0.0793,0.1709,1099.774,0.100043,-469.991717,-469.983471,-469.982527,-470.024948,29.767
gdb_82420,CN1C2CC2NCC1=O,2.50525,1.73276,1.162,3.4221,75.89,-0.2065,0.0293,0.2359,1077.7192,0.161677,-419.215533,-419.207322,-419.206378,-419.248328,31.475
gdb_17099,O=CC1CC2CC1O2,4.89014,1.51341,1.45346,3.2777,64.7,-0.2435,-0.0221,0.2214,888.829,0.13157,-383.725496,-383.718903,-383.717958,-383.756607,25.181
gdb_65125,CC1(CC1)C1C2CC1O2,3.25467,1.24232,1.14555,2.0406,81.59,-0.2323,0.079,0.3113,1172.391,0.182159,-387.001991,-386.993731,-386.992787,-387.034824,32.904
gdb_79469,CC1N2C3CC2C1(C)C3,2.36528,1.88982,1.45982,1.5423,85.01,-0.22,0.0868,0.3068,1031.2194,0.195994,-367.173009,-367.165059,-367.164115,-367.204859,32.628
gdb_39315,C1C2COC3COC3C12,2.85832,1.80566,1.34977,2.0053,74.2,-0.2451,0.0756,0.3207,981.1324,0.162042,-422.995057,-422.988044,-422.9871,-423.026439,28.374
gdb_61327,CC(CC#CC#N)C=O,5.14561,0.6015,0.55412,4.174,84.35,-0.272,-0.0462,0.2258,1866.7357,0.121786,-400.753032,-400.743328,-400.742384,-400.788877,33.174
gdb_83697,CC1=CC2CCC2C1O,2.65861,1.51591,1.13244,1.3664,84.09,-0.2335,0.0205,0.254,1151.6533,0.18352,-387.096283,-387.087717,-387.086773,-387.129186,33.548
gdb_108519,OCC12CCC1OCC2,2.63788,1.42069,1.17294,1.6286,77.43,-0.2408,0.0703,0.311,1136.399,0.18362,-424.217655,-424.209086,-424.208141,-424.251064,32.944
gdb_131804,c1c(nn[nH]1)CCCO,5.53656,0.65347,0.6319,4.2849,74.42,-0.25,0.0018,0.2518,1743.2072,0.148602,-435.261804,-435.252797,-435.251853,-435.297346,31.638
gdb_48953,O=CC12CC3CC1CC23,3.09971,1.63063,1.39133,2.7639,79.54,-0.2438,-0.0261,0.2177,982.9149,0.161427,-385.87045,-385.863449,-385.862505,-385.901872,28.5
gdb_36799,C1CC1OCCCC#N,7.7182,0.49843,0.4895,4.6566,81.4,-0.2574,0.0356,0.293,2196.8103,0.169646,-403.140797,-403.130923,-403.129979,-403.177211,34.631
gdb_132075,OC1=C(F)C=COC1=N,2.40581,1.85257,1.04663,2.9867,67.26,-0.208,-0.0396,0.1684,1019.9168,0.089331,-497.879187,-497.872071,-497.871127,-497.910726,27.473
gdb_71950,CC12CC3CC(C1)OC23,2.78092,1.84978,1.59741,1.3272,80.07,-0.2438,0.0879,0.3317,956.9813,0.186033,-387.108401,-387.101449,-387.100505,-387.139161,29.88
gdb_32738,CCCc1c(nco1)O,3.2233,0.98933,0.79689,0.5584,75.48,-0.2102,0.0058,0.216,1445.4034,0.14772,-439.128369,-439.119407,-439.118463,-439.162988,32.33
gdb_56033,NC(=O)CC1COCO1,4.21562,0.93474,0.80065,2.9291,68.24,-0.2407,0.0314,0.2721,1379.3551,0.148469,-476.25523,-476.246396,-476.245452,-476.29029,31.671
gdb_62323,NC1(C#N)C2C3CC3C12,4.03655,1.26575,1.12357,3.1321,77.05,-0.2263,0.023,0.2492,1089.0584,0.13662,-380.794015,-380.786184,-380.78524,-380.825983,30.974
gdb_63231,CC1(C)C=CCC2OC12,2.47529,1.59729,1.32377,1.7102,83.56,-0.2425,0.0258,0.2683,1088.9332,0.182611,-387.09661,-387.088038,-387.087094,-387.129247,34.001
gdb_39388,C1C2CC11OC1CCO2,2.39837,2.1652,1.46187,1.5086,74.17,-0.2519,0.0679,0.3199,935.6549,0.161457,-422.965718,-422.95887,-422.957926,-422.996444,29.047
gdb_67703,OC12C3OCC1C=CC23,2.34386,2.06691,1.74775,1.2229,71.42,-0.2181,0.0123,0.2304,877.1039,0.137584,-421.806308,-421.799505,-421.79856,-421.837005,28.257
gdb_40346,C1OC1C12C3CC1OC23,3.63615,1.29771,1.23418,1.0515,71.8,-0.2336,0.0746,0.3082,1056.9231,0.136268,-421.725601,-421.718477,-421.717533,-421.757788,27.608
gdb_69478,CC12CN1C(CC=O)C2,4.78296,0.83954,0.79533,3.7851,80.25,-0.2346,-0.0203,0.2144,1478.7872,0.169335,-403.116499,-403.107303,-403.106359,-403.15126,33.766
gdb_106938,OCC12CC1C(=N)OC2,3.96859,1.11217,0.99887,3.669,74.04,-0.2516,0.0256,0.2772,1203.9833,0.148641,-439.086507,-439.078211,-439.077267,-439.119596,31.284
gdb_66140,OC1(CCC2OC12)C=O,3.06497,1.35204,1.24556,3.1187,67.79,-0.2589,-0.0462,0.2127,1048.4706,0.135298,-458.961168,-458.953274,-458.95233,-458.993543,30.405
gdb_119297,COCC1(CCN1)C#N,2.12637,1.33535,0.96902,5.4476,76.77,-0.2459,0.0232,0.2691,1287.2118,0.158901,-419.18099,-419.171539,-419.170595,-419.215797,33.66
gdb_100328,CCC(C)(CC#C)OC,2.14123,1.16665,0.99614,1.5503,87.53,-0.249,0.0551,0.3041,1373.0297,0.201263,-388.254445,-388.243035,-388.24209,-388.290775,41.718
gdb_28269,C1Oc2c(oc(n2)O)O1,5.14754,1.33258,1.07223,0.3949,56.19,-0.1898,0.0101,0.1999,1006.7665,0.078728,-509.736156,-509.729482,-509.728538,-509.76728,24.918
gdb_22346,CC1CC(C=C1N)=NO,3.11146,1.09002,0.84495,3.6331,86.67,-0.1847,0.0044,0.1892,1362.607,0.1594,-419.197478,-419.188179,-419.187235,-419.231828,35.349
gdb_124059,c1c2c(on1)COC=N2,3.90842,1.63539,1.16136,2.4791,65.18,-0.232,-0.0344,0.1976,947.8144,0.092053,-452.738322,-452.731988,-452.731044,-452.769646,23.618
gdb_118125,CCOC(C)C1CC1C,2.00888,1.16929,0.86145,1.0751,90.25,-0.2435,0.0816,0.3251,1508.8171,0.226663,-389.480654,-389.469536,-389.468592,-389.517464,40.517
gdb_127084,CN(C)c1c(cn[nH]1)O,2.57273,1.36381,1.08707,3.9483,75.08,-0.207,0.0242,0.2312,1171.5445,0.148202,-435.261138,-435.252049,-435.251105,-435.295253,33.292
gdb_112034,COC1C=CC=CC=C1,2.50005,1.51293,1.26693,0.9833,87.09,-0.2211,-0.0368,0.1843,1099.7094,0.160364,-385.892666,-385.884401,-385.883457,-385.925545,31.566
gdb_7865,NC(=O)OC1CC1O,4.17529,1.27224,1.1755,2.8575,58.37,-0.2462,0.0443,0.2905,1038.7633,0.117379,-436.951175,-436.942741,-436.941796,-436.985293,30.144
gdb_117392,C1CC1NC(=O)CCO,5.27899,0.64894,0.61325,2.0957,76.98,-0.2408,0.0311,0.2719,1836.7085,0.169594,-440.294958,-440.284652,-440.283707,-440.332413,35.964
gdb_48977,O=CC12CN=C3OC1C23,3.54683,1.6095,1.24577,1.3438,68.23,-0.2399,-0.0765,0.1635,939.8618,0.098181,-436.547728,-436.540423,-436.539479,-436.579437,27.485
gdb_27219,c1c2c(c([nH]1)N)CC=C2,3.26657,1.56672,1.07105,1.4511,83.2,-0.1793,0.0142,0.1936,1083.5507,0.139148,-380.909745,-380.902082,-380.901138,-380.941976,29.962
gdb_22774,CCC1CC(=NO)C1C,2.35318,1.07128,0.83681,0.9438,86.61,-0.2385,0.0111,0.2496,1472.2148,0.192165,-404.307592,-404.297343,-404.296399,-404.343035,37.841
gdb_76689,OC1C(O)C1CC1CO1,3.47322,0.88321,0.83773,2.6562,72.0,-0.2355,0.0495,0.285,1429.0324,0.157745,-460.105832,-460.096578,-460.095633,-460.140811,34.036
gdb_93210,CC1CCC(=O)C(N)=N1,2.75875,1.38068,0.96652,0.9914,79.83,-0.2276,-0.0559,0.1717,1224.4359,0.160151,-419.25807,-419.24933,-419.248386,-419.2912,33.774
gdb_80045,CN1C2C=CC3(CC3)C12,2.80422,1.58463,1.36693,1.3672,85.01,-0.2195,0.0083,0.2278,1040.6629,0.171817,-365.974566,-365.966661,-365.965717,-366.006541,31.853
gdb_34232,C#CC12OC3CC1CC23,3.32202,1.60658,1.39079,1.8299,78.51,-0.2402,0.0186,0.2588,963.3933,0.136943,-384.614122,-384.607289,-384.606345,-384.64509,28.458
gdb_106823,OCC12CC1(O)COC2,2.44723,1.47677,1.10513,2.1087,71.43,-0.2512,0.0663,0.3174,1133.1023,0.158738,-460.139416,-460.130534,-460.12959,-460.17287,33.629
gdb_34991,N#CC1C2CC3CC3C12,2.64115,1.62949,1.40457,4.2725,78.35,-0.2612,0.025,0.2862,993.0246,0.150384,-364.805762,-364.798546,-364.797601,-364.837362,28.964
gdb_86489,OC1CC(C1)(C=O)C#C,2.23216,1.35127,0.98159,2.9576,75.5,-0.2564,-0.0352,0.2212,1211.3649,0.132738,-421.784657,-421.775401,-421.774457,-421.818971,34.116
gdb_101009,COC(C)C1(O)COC1,2.31265,1.3343,1.0429,1.633,74.7,-0.2458,0.0674,0.3132,1248.332,0.179419,-461.326099,-461.31577,-461.314826,-461.361786,37.062
gdb_39675,C1OCC1C1COC=N1,4.49369,1.02082,0.88311,2.0661,71.65,-0.2456,0.015,0.2607,1280.026,0.149476,-439.069415,-439.061402,-439.060457,-439.103774,28.393
gdb_53232,CC#CC1CC(C)C1C,3.59337,0.8056,0.73999,0.1144,95.72,-0.2354,0.058,0.2934,1675.2915,0.20393,-351.134251,-351.123468,-351.122524,-351.173253,38.754
gdb_53928,NC(=N)C(O)(C#C)C#N,1.84781,1.61925,1.2828,5.8524,69.46,-0.2591,-0.02,0.2391,1060.4498,0.097807,-432.825501,-432.815848,-432.814904,-432.859944,34.973
gdb_113724,CCC1CN1C(C)C#N,3.29802,0.89239,0.78608,4.728,84.39,-0.2462,0.0321,0.2783,1527.2141,0.181049,-383.258202,-383.248037,-383.247093,-383.293792,36.647
gdb_122344,CCCCC1C(C)C1O,3.27976,0.67865,0.6421,1.2777,90.06,-0.2431,0.0608,0.3039,1922.3996,0.227158,-389.483969,-389.472713,-389.471769,-389.521084,40.775
